millis,distance_cm
148500,19.17
148600,19.17
148700,19.17
148800,19.17
148900,19.17
149000,19.17
149100,19.17
149200,19.17
149300,19.17
149400,19.17
149500,19.17
149600,19.17
149700,19.17
149800,19.17
149900,19.17
150000,19.17
150100,19.17
150200,19.17
150300,19.17
150400,19.19
150500,19.17
150600,19.17
150700,19.17
150800,19.19
150900,19.17
151000,19.17
151100,19.19
151200,19.17
151300,19.17
151400,19.17
151500,19.17
151600,19.17
151700,19.19
151800,19.17
151900,19.17
152000,19.17
152100,19.17
152200,19.17
152300,19.17
152400,19.17
152500,19.17
152600,19.17
152700,19.17
152800,19.17
152900,19.17
153000,19.17
153100,19.19
153200,19.17
153300,19.17
153400,19.17
153500,19.17
153600,19.17
153700,19.17
153800,19.17
153900,19.19
154000,19.17
154100,19.17
154200,19.19
154300,19.17
154400,19.17
154500,19.17
154600,19.17
154700,19.17
154800,19.17
154900,19.19
155000,19.17
155100,19.17
155200,19.17
155300,19.17
155400,19.19
155500,19.17
155600,19.17
155700,19.17
155800,19.17
155900,19.16
156000,19.17
156100,19.17
156200,19.17
156300,19.17
156400,19.19
156500,19.17
156600,19.17
156700,19.17
156800,19.17
156900,19.17
157000,19.17
157100,19.17
157200,19.17
157300,19.17
157400,19.17
157500,19.17
157600,19.17
157700,19.17
157800,19.17
157900,19.17
158000,19.17
158100,19.17
158200,19.17
158300,19.17
158400,19.17
158500,19.17
158600,19.17
158700,19.17
158800,19.17
158900,19.17
159000,19.17
159100,19.16
159200,19.17
159300,19.17
159400,19.19
159500,19.17
159600,19.17
159700,19.17
159800,19.17
159900,19.17
160000,19.17
160100,19.17
160200,19.17
160300,19.17
160400,19.17
160500,19.17
160600,19.17
160700,19.17
160800,19.17
160900,19.17
161000,19.17
161100,19.17
161200,19.17
161300,19.17
161400,19.17
161500,19.19
161600,19.17
161700,19.17
161800,19.17
161900,19.17
162000,19.17
162100,19.17
162200,19.17
162300,19.17
162400,19.17
162500,19.17
162600,19.17
162700,19.17
162800,19.17
162900,19.17
163000,19.17
163100,19.17
163200,19.17
163300,19.17
163400,19.17
163500,19.17
163600,19.17
163700,19.17
163800,19.17
163900,19.19
164000,19.17
164100,19.17
164200,19.17
164300,19.17
164400,19.16
164500,19.17
164600,19.17
164700,19.17
164800,19.17
164900,19.17
165000,19.17
165100,19.17
165200,19.17
165300,19.17
165400,19.17
165500,19.17
165600,19.17
165700,19.17
165800,19.17
165900,19.17
166000,19.17
166100,19.17
166200,19.17
166300,19.17
166400,19.17
166500,19.17
166600,19.17
166700,19.17
166800,19.17
166900,19.17
167000,19.17
167100,19.17
167200,19.17
167300,19.17
167400,19.17
167500,19.17
167600,19.17
167700,19.17
167800,19.17
167900,19.17
168000,19.17
168100,19.17
168200,19.17
168300,19.17
168400,19.17
168500,19.17
168600,19.17
168700,19.17
168800,19.17
168900,19.17
169000,19.17
169100,19.17
169200,19.17
169300,19.17
169400,19.17
169500,19.17
169600,19.17
169700,19.17
169800,19.17
169900,19.17
170000,19.17
170100,19.17
170200,19.17
170300,19.17
170400,19.17
170500,19.17
170600,19.17
170700,19.17
170800,19.17
170900,19.17
171000,19.17
171100,19.17
171200,19.17
171300,19.17
171400,19.17
171500,19.17
171600,19.17
171700,19.17
171800,19.17
171900,19.17
172000,19.19
172100,19.17
172200,19.17
172300,19.17
172400,19.16
172500,19.17
172600,19.17
172700,19.17
172800,19.17
172900,19.17
173000,19.17
173100,19.19
173200,19.17
173300,19.17
173400,19.17
173500,19.17
173600,19.19
173700,19.17
173800,19.17
173900,19.17
174000,19.17
174100,19.17
174200,19.17
174300,19.17
174400,19.17
174500,19.17
174600,19.17
174700,19.17
174800,19.17
174900,19.17
175000,19.17
175100,19.17
175200,19.17
175300,19.17
175400,19.17
175500,19.17
175600,19.17
175700,19.17
175800,19.17
175900,19.17
